idx_133,name_133,n_cells_133,idx_16,name_16,overlap_pct,overlap_cells
0,Filchner-Ronne,70849,14,ISMIP6 Basin J-K,97.1,68761
1,Ross,67141,7,ISMIP6 Basin E-F,97.6,65562
2,Antarctica,380505,7,ISMIP6 Basin E-F,18.6,70880
3,Peninsula,42254,11,ISMIP6 Basin Hp-I,43.3,18302
4,West Antarctica,110569,14,ISMIP6 Basin J-K,32.7,36205
5,East Antarctica,227682,7,ISMIP6 Basin E-F,15.6,35466
6,IMBIE1,36677,14,ISMIP6 Basin J-K,98.5,36119
7,IMBIE2,18605,14,ISMIP6 Basin J-K,99.3,18483
8,IMBIE3,14616,14,ISMIP6 Basin J-K,96.8,14155
9,IMBIE4,16211,15,ISMIP6 Basin K-A,99.9,16200
10,IMBIE5,8516,0,ISMIP6 Basin A-Ap,76.9,6546
11,IMBIE6,19597,0,ISMIP6 Basin A-Ap,95.4,18700
12,IMBIE7,14809,1,ISMIP6 Basin Ap-B,99.6,14747
13,IMBIE8,6714,1,ISMIP6 Basin Ap-B,99.9,6709
14,IMBIE9,6233,2,ISMIP6 Basin B-C,88.8,5533
15,IMBIE10,6818,2,ISMIP6 Basin B-C,94.7,6459
16,IMBIE11,4801,2,ISMIP6 Basin B-C,94.7,4546
17,IMBIE12,21951,3,ISMIP6 Basin C-Cp,96.9,21266
18,IMBIE13,19118,4,ISMIP6 Basin Cp-D,99.8,19076
19,IMBIE14,16892,5,ISMIP6 Basin D-Dp,76.8,12974
20,IMBIE15,10101,6,ISMIP6 Basin Dp-E,100.0,10101
21,IMBIE16,6679,6,ISMIP6 Basin Dp-E,96.6,6452
22,IMBIE17,36021,7,ISMIP6 Basin E-F,97.5,35125
23,IMBIE18,15117,7,ISMIP6 Basin E-F,100.0,15111
24,IMBIE19,15149,7,ISMIP6 Basin E-F,99.9,15128
25,IMBIE20,19303,8,ISMIP6 Basin F-G,70.9,13679
26,IMBIE21,6817,9,ISMIP6 Basin G-H,99.8,6806
27,IMBIE22,5346,9,ISMIP6 Basin G-H,97.3,5199
28,IMBIE23,12160,10,ISMIP6 Basin H-Hp,83.9,10201
29,IMBIE24,17501,11,ISMIP6 Basin Hp-I,99.6,17427
30,IMBIE25,7219,12,ISMIP6 Basin I-Ipp,88.5,6392
31,IMBIE26,10906,12,ISMIP6 Basin I-Ipp,76.0,8286
32,IMBIE27,6628,13,ISMIP6 Basin Ipp-J,99.5,6594
33,Abbot,7748,10,ISMIP6 Basin H-Hp,88.6,6865
34,Amery,17852,2,ISMIP6 Basin B-C,92.6,16538
35,Atka,335,15,ISMIP6 Basin K-A,100.0,335
36,Aviator,735,6,ISMIP6 Basin Dp-E,100.0,735
37,Bach,1302,11,ISMIP6 Basin Hp-I,100.0,1302
38,Baudouin,7900,0,ISMIP6 Basin A-Ap,88.7,7005
39,Borchgrevink,4552,0,ISMIP6 Basin A-Ap,100.0,4550
40,Brahms,185,11,ISMIP6 Basin Hp-I,100.0,185
41,Brunt_Stancomb,7140,15,ISMIP6 Basin K-A,100.0,7140
42,Campbell,367,6,ISMIP6 Basin Dp-E,100.0,367
43,Cheetham,77,6,ISMIP6 Basin Dp-E,100.0,77
44,Conger_Glenzer,1512,3,ISMIP6 Basin C-Cp,57.6,871
45,Cook,2352,5,ISMIP6 Basin D-Dp,83.3,1960
46,Cosgrove,1385,9,ISMIP6 Basin G-H,95.5,1322
47,Crosson,1618,9,ISMIP6 Basin G-H,100.0,1618
48,Dennistoun,633,6,ISMIP6 Basin Dp-E,100.0,633
49,Dibble,1817,5,ISMIP6 Basin D-Dp,63.3,1151
50,Dotson,2098,9,ISMIP6 Basin G-H,99.5,2087
51,Drygalski,2037,6,ISMIP6 Basin Dp-E,99.3,2022
52,Edward_VIII,1868,1,ISMIP6 Basin Ap-B,100.0,1868
53,Ekstrom,1636,15,ISMIP6 Basin K-A,96.4,1577
54,Ferrigno,1485,10,ISMIP6 Basin H-Hp,99.8,1482
55,Filchner,28565,14,ISMIP6 Basin J-K,93.8,26804
56,Fimbul,7095,0,ISMIP6 Basin A-Ap,99.9,7090
57,Fitzgerald,189,6,ISMIP6 Basin Dp-E,100.0,189
58,Frost,3024,4,ISMIP6 Basin Cp-D,99.2,3001
59,GeikieInlet,123,6,ISMIP6 Basin Dp-E,100.0,123
60,George_VI,7204,11,ISMIP6 Basin Hp-I,99.8,7186
61,Getz,9866,8,ISMIP6 Basin F-G,95.4,9413
62,Gillet,268,6,ISMIP6 Basin Dp-E,100.0,268
63,Hamilton,296,7,ISMIP6 Basin E-F,100.0,296
64,Hannan,1916,1,ISMIP6 Basin Ap-B,100.0,1916
65,HarbordGlacier,112,6,ISMIP6 Basin Dp-E,100.0,112
66,Helen,1301,3,ISMIP6 Basin C-Cp,100.0,1301
67,Holmes,1260,4,ISMIP6 Basin Cp-D,100.0,1260
68,HolmesWest,487,4,ISMIP6 Basin Cp-D,100.0,487
69,Hull,1431,8,ISMIP6 Basin F-G,100.0,1431
70,Jelbart,1929,0,ISMIP6 Basin A-Ap,97.3,1876
71,Land,1037,8,ISMIP6 Basin F-G,97.7,1013
72,Larsen_B,3437,12,ISMIP6 Basin I-Ipp,100.0,3437
73,Larsen_C,13544,12,ISMIP6 Basin I-Ipp,79.7,10790
74,Larsen_D,4741,13,ISMIP6 Basin Ipp-J,99.3,4710
75,Larsen_E,1011,13,ISMIP6 Basin Ipp-J,99.8,1009
76,Larsen_F,742,13,ISMIP6 Basin Ipp-J,99.9,741
77,Larsen_G,231,13,ISMIP6 Basin Ipp-J,100.0,231
78,Lazarev,1669,0,ISMIP6 Basin A-Ap,100.0,1669
79,Lillie,978,6,ISMIP6 Basin Dp-E,100.0,978
80,Mariner,1498,6,ISMIP6 Basin Dp-E,100.0,1498
81,Matusevitch,1537,6,ISMIP6 Basin Dp-E,80.1,1231
82,Mendelssohn,199,11,ISMIP6 Basin Hp-I,100.0,199
83,Mertz,3698,5,ISMIP6 Basin D-Dp,100.0,3698
84,Moscow_University,3168,4,ISMIP6 Basin Cp-D,99.8,3162
85,Moubray,942,6,ISMIP6 Basin Dp-E,100.0,942
86,Mulebreen,1491,1,ISMIP6 Basin Ap-B,100.0,1491
87,Myers,2381,1,ISMIP6 Basin Ap-B,100.0,2381
88,Nansen,1137,6,ISMIP6 Basin Dp-E,100.0,1137
89,Nickerson,1978,8,ISMIP6 Basin F-G,91.0,1800
90,Ninnis,3132,5,ISMIP6 Basin D-Dp,99.6,3120
91,Nivl,2307,0,ISMIP6 Basin A-Ap,100.0,2307
92,Noll,356,6,ISMIP6 Basin Dp-E,100.0,356
93,Nordenskjold,1670,6,ISMIP6 Basin Dp-E,99.2,1656
94,Pine_Island,4996,9,ISMIP6 Basin G-H,97.1,4849
95,PourquoiPas,2501,5,ISMIP6 Basin D-Dp,100.0,2501
96,Prince_Harald,3902,1,ISMIP6 Basin Ap-B,99.6,3886
97,Publications,3653,3,ISMIP6 Basin C-Cp,99.2,3624
98,Quar,615,15,ISMIP6 Basin K-A,100.0,615
99,Rayner_Thyer,1653,1,ISMIP6 Basin Ap-B,100.0,1653
100,Rennick,2358,6,ISMIP6 Basin Dp-E,100.0,2358
101,Richter,182,7,ISMIP6 Basin E-F,100.0,182
102,Riiser-Larsen,7274,15,ISMIP6 Basin K-A,99.9,7267
103,Ronne,42284,14,ISMIP6 Basin J-K,99.2,41957
104,Western_Ross,32754,7,ISMIP6 Basin E-F,95.3,31202
105,Eastern_Ross,34387,7,ISMIP6 Basin E-F,99.9,34360
106,Shackleton,6780,3,ISMIP6 Basin C-Cp,99.8,6765
107,Shirase,2703,1,ISMIP6 Basin Ap-B,98.3,2657
108,Slava,840,6,ISMIP6 Basin Dp-E,72.5,609
109,SmithInlet,934,6,ISMIP6 Basin Dp-E,100.0,934
110,Stange,3800,11,ISMIP6 Basin Hp-I,92.2,3505
111,Sulzberger,3452,7,ISMIP6 Basin E-F,99.4,3430
112,Suvorov,478,6,ISMIP6 Basin Dp-E,100.0,478
113,Swinburne,541,7,ISMIP6 Basin E-F,100.0,541
114,Thwaites,3101,9,ISMIP6 Basin G-H,100.0,3101
115,Tinker,302,6,ISMIP6 Basin Dp-E,100.0,302
116,Totten,6679,4,ISMIP6 Basin Cp-D,99.9,6675
117,Tracy_Tremenchus,1139,3,ISMIP6 Basin C-Cp,100.0,1139
